id,title,genres,averageRating,numVotes,releaseYear
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17868,2020
tt3671754,"Kardes Payi","Comedy, Drama, Family",8.6,17444,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16596,1999
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15527,2004
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15409,2022
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15145,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14463,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13474,1998
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13282,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13266,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12411,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12298,2016
tt0118273,"Brass Eye",Comedy,8.6,11750,1997
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11734,2020
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11355,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10471,2019
tt31862849,"Very Parivarik",Comedy,8.6,10240,2024
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10199,2015
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10178,1999
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10095,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,600394,2013
tt10048342,"The Queen's Gambit",Drama,8.5,583204,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,541141,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,499727,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,428858,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357507,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,299512,2018
tt1439629,Community,Comedy,8.5,298902,2009
tt1586680,Shameless,"Comedy, Drama",8.5,298660,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283437,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266299,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261253,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252295,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193253,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,177182,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,172049,2015
tt2575988,"Silicon Valley",Comedy,8.5,169694,2014
tt0487831,"The IT Crowd",Comedy,8.5,167247,2006
tt3526078,"Schitt's Creek",Comedy,8.5,152071,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,147729,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,133756,2020
tt0290978,"The Office","Comedy, Drama",8.5,125439,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104260,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94194,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,90636,1995
tt3502248,Bosch,"Crime, Drama",8.5,85921,2014
tt1492966,Louie,"Comedy, Drama",8.5,82909,2010
tt10638036,Heartstopper,"Drama, Romance",8.5,82707,2022
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81499,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79561,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78266,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,68753,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67110,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,66942,2007
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,66718,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,66706,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65266,1972
tt7120662,"Derry Girls",Comedy,8.5,64324,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,61785,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61242,2001
tt0187664,Spaced,Comedy,8.5,58440,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57183,2004
tt2937900,"The Knick","Drama, History",8.5,53377,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,52998,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,52790,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52289,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50852,2004
tt0237123,Coupling,"Comedy, Romance",8.5,48240,2000
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,47031,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40116,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,38133,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,36938,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30867,2021
tt1526318,Borgen,Drama,8.5,30562,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30078,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29570,2009
tt0043208,"I Love Lucy",Comedy,8.5,29442,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27193,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26884,2019
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25386,1977
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25211,2023
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23932,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23168,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22836,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,21956,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21498,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21413,2014
tt7259746,"Queer Eye",Reality-TV,8.5,21359,2018
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21353,2002
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20908,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20750,2016
tt1094229,Heartland,"Drama, Family",8.5,20665,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20506,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20023,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,19991,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19630,1955
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,19473,2020
tt0493331,"Barareh Nights",Comedy,8.5,18703,2005
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17758,2016
tt0070644,"Scenes from a Marriage",Drama,8.5,17431,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17270,2015
tt8317568,"Broken But Beautiful","Drama, Romance",8.5,17225,2018
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,16623,1992
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Sci-Fi",8.5,16007,2004
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,15926,1996
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15785,2017
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15346,1967
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,15343,2020
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15257,2007
tt0098825,"House of Cards",Drama,8.5,15253,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,14990,2005
tt26225038,"Death's Game","Drama, Fantasy",8.5,14871,2023
tt22185582,Sixer,"Drama, Sport",8.5,14132,2022
tt27867155,"Mr Bates vs. The Post Office","Biography, Drama",8.5,12799,2024
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12105,1999
tt0161952,"Saint Seiya: Knights of the Zodiac","Action, Adventure, Animation",8.5,11528,1986
tt12369754,Staged,"Comedy, Drama",8.5,10689,2020
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10352,1968
tt11052470,"Move to Heaven",Drama,8.5,10200,2021
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10165,2012
tt1632701,Suits,"Comedy, Drama",8.4,497555,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,496288,2005
tt11198330,"House of the Dragon","Action, Adventure, Drama",8.4,451174,2022
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,379303,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,273821,2001
tt5675620,"The Punisher","Action, Crime, Drama",8.4,272609,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,265973,2024
tt5834204,"The Handmaid's Tale","Drama, Sci-Fi, Thriller",8.4,264291,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,260940,2008
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,230525,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,213415,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,204470,2019
tt0285331,24,"Action, Crime, Drama",8.4,199369,2001
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,196570,2021
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183399,2014
tt0387199,Entourage,"Comedy, Drama",8.4,178602,2004
tt9253284,Andor,"Action, Adventure, Drama",8.4,177831,2022
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,177045,2016
tt7657124,"The Heroes","Animation, Drama, History",8.4,168580,2008
tt8398600,"After Life","Comedy, Drama",8.4,156951,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156652,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,135970,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,130781,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,129933,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,126060,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,114191,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112434,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,103162,1997
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,99974,2016
tt9059760,"Normal People","Drama, Romance",8.4,97584,2020
tt1220617,"The Inbetweeners",Comedy,8.4,96129,2008
tt0060028,"Star Trek","Action, Adventure, Sci-Fi",8.4,94943,1966
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,87811,2018
